Nama Satuan Pendidikan,NPSN,Bentuk Pendidikan,Status Sekolah,Alamat,Desa,Kecamatan,Lintang,Bujur,PD_L,PD_P,PD_Total,Guru,Tendik
AL ALIM,69836400,SPS,Swasta,RAJAMANDALA RT. 03 / 12,Mandalamukti,Cikalongwetan,-5.443757000000,114.421127000000,18,16,34,3,2
Al Amanah,69836136,SPS,Swasta,Kp. Weninggalih,Weninggalih,Sindangkerta,-7.018891000000,107.382483000000,18,13,31,1,1
AL AMIN RANCASUNI,69836411,SPS,Swasta,KP. SANCANG RT. 02 / 14,Cisomang Barat,Cikalongwetan,-6.757287800000,107.483078800000,21,22,43,2,2
AL BAROKAH,69835961,KB,Swasta,KP. TONJONG RT. 02/02,Nyalindung,Cipatat,-6.828969200000,107.344332400000,39,17,56,2,1
AL BASYAR,69835812,KB,Swasta,CIKABODAS RT. 01 /01,Tamanjaya,Gununghalu,-7.019841700000,107.350633200000,0,0,0,1,1
AL FAJRI,69836110,SPS,Swasta,KP. LAMPEGAN,Sukamanah,Rongga,-6.995022600000,107.226401100000,10,10,20,1,1
AL FIKRI,69836391,SPS,Swasta,CIPARE RT. 02 / 08,Cipada,Cikalongwetan,-6.775000000000,107.506900000000,10,7,17,1,2
Al Firdaus,69835963,KB,Swasta,Kp. Cimentang Rt. 02 /07,Nyalindung,Cipatat,-6.789300000000,107.445400000000,9,14,23,4,1
AL FURQON,69836396,SPS,Swasta,KP. PANGHEOTAN RT. 01 / 16,Mandalamukti,Cikalongwetan,-6.733358700000,107.405643000000,12,16,28,3,1
AL HIDAYAH,69836160,SPS,Swasta,SUKAMANAH RT 01 RW 05,Bongas,Cililin,-6.957300000000,107.423400000000,19,13,32,3,1
AL HIKMAH,69835825,KB,Swasta,CIMANTAR,Cintakarya,Sindangkerta,-6.990600000000,107.402300000000,9,19,28,2,1
AL HUDA,69835770,KB,Swasta,GENGGONG,Cinengah,Rongga,-6.963818000000,107.281817000000,3,0,3,2,1
AL HUDA,69836383,SPS,Swasta,BONGKOK Rt. 03/15,Mekarjaya,Cikalongwetan,-6.770293000000,107.472730000000,11,8,19,1,1
AL IKHLAS,69836059,KB,Swasta,SUKALUYU,Puteran,Cikalongwetan,-6.772941200000,107.490304400000,10,15,25,4,1
AL IKHSAN,69836077,KB,Swasta,BOJONG RT. 02 RW. 04,Bojongmekar,Cipeundeuy,-6.777659600000,107.355348900000,10,19,29,2,1
AL IKHWAN,69835852,KB,Swasta,CIBAREGBEG,Bongas,Cililin,-6.956338000000,107.423249000000,8,8,16,2,2
AL INAYAH II,69835735,TK,Swasta,KOMP. PADASUKA INDAH II C NO. 25,Gadobangkong,Ngamprah,-6.851231900000,107.507525600000,11,15,26,3,2
AL ISTIQOMAH,69835831,KB,Swasta,SUKAJADI,Cicangkang Girang,Sindangkerta,-6.996846800000,107.405198300000,22,18,40,2,0
AL JABAAR,69835943,KB,Swasta,KP. NYOMPLONG,Cipatat,Cipatat,-6.834666200000,107.406850800000,3,0,3,1,1
AL JIHAD,69836382,SPS,Swasta,KP. PANGLESERAN RT. 03 / 09,Mandalasari,Cikalongwetan,-6.759695000000,107.433087000000,15,10,25,3,1
AL MAJIDIYYAH,69891506,KB,Swasta,GOMBONG RT. 03 /03,Budiharja,Cililin,-6.940983000000,107.440774000000,10,7,17,3,0
AL MUSRI I,69836148,SPS,Swasta,Kp. Kubang Rt 03/06,Puncaksari,Sindangkerta,-6.960700000000,107.448000000000,33,32,65,3,1
AL Mutmainah,69836146,SPS,Swasta,Kp. Babakan Jati,Cicangkang Girang,Sindangkerta,-7.018400000000,107.384300000000,14,17,31,3,2
AL MUZAYYIN,69835977,KB,Swasta,KP. KUTALAKSANA RT. 03 /02,Mandalawangi,Cipatat,-6.842408000000,107.324924000000,13,8,21,3,0
AL WASILAH,69836407,SPS,Swasta,PINANGSIANG RT. 02 / 13,Rende,Cikalongwetan,-6.762071300000,107.449933200000,15,8,23,2,2
AL-ALIF,69836398,SPS,Swasta,WARUNGDOMBA RT 01 RW 07,Mandalamukti,Cikalongwetan,-6.738259000000,107.438307000000,13,7,20,1,1
Al-AMANAH,69835957,KB,Swasta,Kp.Cigintung Rt.01 / 21,Gunungmasigit,Cipatat,-6.859327300000,107.419033100000,22,31,53,1,1
AL-ANSHORI,69891451,TK,Swasta,CINEMRANG,Bojong,Rongga,.000000000000,.000000000000,6,9,15,3,0
AL-FURQON,69835867,KB,Swasta,SAAR MUTIARA NO.92 RT 02 RW 06,Karangtanjung,Cililin,-5.438612000000,114.434639000000,2,1,3,4,2
AL-FURQON,69836386,SPS,Swasta,CIPADAGIRANG RT 01 RW 01,Mekarjaya,Cikalongwetan,-6.754100000000,107.458500000000,33,22,55,2,2
AL-HIDAYAH,69836091,KB,Swasta,Cijati RT 02 RW 14,Jatimekar,Cipeundeuy,-6.775043100000,107.392573100000,22,17,39,2,1
AL-HIDAYAH CIPETIR,69891504,KB,Swasta,CIPETIR RT 03 RW 02,Cililin,Cililin,-6.954599000000,107.458340000000,8,7,15,1,1
AL-IKHLAS,69836153,SPS,Swasta,KP. MANAPA DESA KARANGTANJUNG,Karangtanjung,Cililin,-6.949500000000,107.466900000000,18,10,28,0,1
AL-JIHAD,69835874,KB,Swasta,KP.CIMONYET RT 05 RW 06,Karanganyar,Cililin,-6.996197000000,107.447994200000,21,15,36,5,0
AMAL SALEH,69891494,KB,Swasta,PASIR MUNCANG,Cicangkang Girang,Sindangkerta,-6.994800000000,107.382000000000,9,15,24,3,1
AN NISA,69835742,TK,Swasta,BLOK H-I NO. 44,Cilame,Ngamprah,-6.835015400000,107.498160600000,9,12,21,1,2
AN NUR CIKANDE,69888171,TK,Swasta,KP. CIKANDE RT. 02 / 07,BOJONG HALEUANG,Saguling,-6.884606000000,107.393507800000,22,24,46,4,2
ANGGREK,69836390,SPS,Swasta,PASIR MALANG RT. 03 / 04,Cipada,Cikalongwetan,-6.707013800000,107.407921700000,12,9,21,2,1
ANNISA,69835860,KB,Swasta,JL.RAYA PASAR LAMA NO. 35 RT. 02 / 02,Cililin,Cililin,-6.950400000000,107.456300000000,5,10,15,1,2
ANUGRAH,69836087,KB,Swasta,KP. CINANGKA RT. 01 RW. 09,Margalaksana,Cipeundeuy,-6.728600000000,107.339400000000,9,12,21,2,1
AR RAUDHAH,69835956,KB,Swasta,KP. CIHALIMUN RT 01 RW 19,Gunungmasigit,Cipatat,-5.443757000000,114.421127000000,13,15,28,3,0
AR ROHMANIAH,69835877,KB,Swasta,PASIR GEPENG RT. 03 / 01,Karanganyar,Cililin,-6.925300000000,107.391200000000,25,26,51,2,0
AR ROZAQ,69835833,KB,Swasta,KP. SINDANGWARGI RT 02/12,Cicangkang Girang,Sindangkerta,-7.034452800000,107.430369500000,17,11,28,3,1
AR-ROHMAH,69836154,SPS,Swasta,KP. PASIR SEREH,Mukapayung,Cililin,-6.988302000000,107.449422000000,3,5,8,2,1
AS - SYIFA,69835780,KB,Swasta,Kp.Tegalaja RT.03/10,Celak,Gununghalu,-7.041317200000,107.307453700000,14,15,29,4,0
AS SALAM,69835871,KB,Swasta,CILEDUG RT. 01 / 01,Budiharja,Cililin,-6.945182000000,107.444873000000,18,24,42,4,2
ASMAUL HUSNA,69836152,SPS,Swasta,PASIRKARAMAT RT. 03 /12,Nanggerang,Cililin,-7.007681000000,107.444693000000,0,0,0,0,1
Assaadah,69835856,KB,Swasta,Leuwinutug,Batulayang,Cililin,-6.983297000000,107.452565000000,29,16,45,5,0
Asy-Syirojudin,69835855,KB,Swasta,Citiis,Batulayang,Cililin,-6.969498000000,107.443249000000,15,18,33,3,3
AT TOYYIBAH,69835873,KB,Swasta,KP. CIMALIK RT. 06/ 03,Karanganyar,Cililin,-6.934770000000,107.399483000000,17,15,32,0,2
AT-TARMIDJI,69836159,SPS,Swasta,BONGAS RT 04 RW 03,Bongas,Cililin,-6.956759000000,107.430539000000,17,12,29,0,1
ATH THOHIRIYAH,69835848,KB,Swasta,JLN. CIJENUK KP. WARUNG AWI RT. 01 / 07,Bongas,Cililin,-5.443757000000,114.421127000000,9,11,20,2,1
AWWALUSSALAAM,69836164,SPS,Swasta,CINANGSI RT.02 RW.02,Karangtanjung,Cililin,-6.951400000000,107.461100000000,15,8,23,5,1
AZ ZAHRA,69835958,KB,Swasta,GUNUNG MASIGIT,Gunungmasigit,Cipatat,-6.813857300000,107.445874500000,14,6,20,1,1
BAABUSSALAM,69836285,SPS,Swasta,Kp. Kebon Kalapa Rt 02/02,Cimareme,Ngamprah,-6.865478000000,107.503366000000,24,22,46,2,0
BAETURRAHMAN,69835861,KB,Swasta,KAUM,Cililin,Cililin,-6.951753000000,107.455124000000,19,24,43,6,1
BAHRUL ULUM,69836410,SPS,Swasta,Cisomang Hilir Rt. 02/02,Tenjolaut,Cikalongwetan,-6.720623000000,107.445659000000,31,26,57,5,1
BAMBIM MUTIARA,69836165,SPS,Swasta,SAAR MUTIARA II NO. 14 RT 01/07,Karangtanjung,Cililin,-7.019039900000,107.462066400000,15,7,22,3,1
BELA PERSADA,69835843,KB,Swasta,GEMBONG RT. 04/ 12,Rancapanggung,Cililin,-6.928500000000,107.393300000000,28,32,60,1,0
BINA GUNA,69836421,SPS,Swasta,JL. RAYA CIPEUNDEUY,Cipeundeuy,Cipeundeuy,-6.589837000000,107.393589000000,13,18,31,3,1
BINA MULIA MANDIRI,69835741,TK,Swasta,Jl. Raya Permata Blok P 8 No. 12 A,Tanimulya,Ngamprah,-6.861206000000,107.518701000000,13,13,26,1,1
BOUGENVILLE,69836417,SPS,Swasta,KP. SUKAJADI RT 01 RW 01,Wangunjaya,Cikalongwetan,-6.726000000000,107.468300000000,20,25,45,4,1
BOUGENVILLE,69836394,SPS,Swasta,Kp. Kadupugur Rt. 03/10,Ganjarsari,Cikalongwetan,-6.742161000000,107.497999000000,1,8,9,1,1
BUDI LUHUR,69836056,KB,Swasta,KP.CIGINTUNG RT. 03 / 01,Ciptagumati,Cikalongwetan,-6.786304700000,107.452550200000,20,18,38,1,1
BUNDA PERTIWI,69835933,KB,Swasta,KP. SUKAATI RT. 02/05,Rajamandala Kulon,Cipatat,-6.814531200000,107.362906700000,19,22,41,2,2
BUNGA NUSANTARA,69836043,KB,Swasta,JAYAGIRI NO. 63 RT.01 /XI,Jayagiri,Lembang,-6.804043000000,107.620620000000,15,16,31,2,1
CAHAYA IBU,69891534,KB,Swasta,KP. CIPANJAK  NO. 2 RT. 04 / 11,Cigugur Girang,Parongpong,-6.838456000000,107.585077000000,0,0,0,1,1
CANDRA KIRANA,69836125,SPS,Swasta,PASIR GOMBONG,Cibitung,Rongga,-6.996001500000,107.196801800000,18,27,45,3,1
CEMARA,69891493,KB,Swasta,Kp. Pangkalan Desa Cikadu,Wangunsari,Sindangkerta,-5.443757000000,114.421127000000,14,15,29,1,1
CIPTA MANDIRI,69836108,SPS,Swasta,KP. PASIR MALANG RT. 01 / 12,Cibedug,Rongga,-6.952812100000,107.238827400000,8,13,21,3,1
CITATAH ENDAH,69835952,KB,Swasta,KP. CIKATOMAS RT. 01 RW. 07,Citatah,Cipatat,-6.828517000000,107.409811000000,6,8,14,2,1
DAARUL MUTTAQIN,69836138,SPS,Swasta,SINDANGKERTA,Cintakarya,Sindangkerta,-6.980336200000,107.404357100000,13,16,29,1,1
DAHLIA,69836409,SPS,Swasta,Kp. Rende kidul Rt. 04/12,Rende,Cikalongwetan,-6.738500000000,107.394400000000,23,21,44,2,0
DARUL WAHAB,69836404,SPS,Swasta,KP. LAPANG RW. 04,Cikalong,Cikalongwetan,-6.729900000000,107.428600000000,24,22,46,2,1
DAYANG,69836240,SPS,Swasta,KP. JALAN CAGAK RT 04 RW 04,Baranangsiang,Cipongkor,-6.970580400000,107.323639400000,11,11,22,2,2
DEWI ENDAH,69835851,KB,Swasta,KP.SUKA MULYA RT 01 RW 06,Bongas,Cililin,-6.955214000000,107.418512000000,6,14,20,4,1
FAJAR HARAPAN,69836238,SPS,Swasta,JL. PLTA SAGULING,Baranangsiang,Cipongkor,-6.963022300000,107.307858500000,12,15,27,2,1
HARAPAN BUNDA,69836384,SPS,Swasta,CINEGLA Rt. 01/07,Mekarjaya,Cikalongwetan,-6.780766000000,107.466833000000,13,18,31,2,2
HARAPAN BUNDA,69836393,SPS,Swasta,Kp. Bojongsero RT. 02 RW. 04,Ganjarsari,Cikalongwetan,-6.737691000000,107.485830000000,21,13,34,1,1
HARAPAN BUNDA II,69836385,SPS,Swasta,KP. CIPEUTEUY RT. 01 RW.05,Mekarjaya,Cikalongwetan,-6.773865000000,107.482810000000,17,18,35,2,1
HARAPAN IBU,69835944,KB,Swasta,NYOMPLONG,Cipatat,Cipatat,-6.842655600000,107.349922900000,45,34,79,3,1
HARAPAN IBU,69891550,SPS,Swasta,Kp. Cimanyar,Cinengah,Rongga,-6.996368700000,107.273964600000,20,18,38,3,1
HARAPAN MULYA,69835947,KB,Swasta,KP. KARANG MULYA RT 02 RW 01,Citatah,Cipatat,-6.852622400000,107.335556400000,18,15,33,1,1
HARAPAN PERTIWI,69836015,KB,Swasta,KP. TAMIANG RESIK,Gadobangkong,Ngamprah,-6.868793000000,107.523262000000,4,7,11,1,2
HIDAYATUL MA RIFAH,69836114,SPS,Swasta,SINDANG RESMI RT. 01 / 01,Bojong,Rongga,-6.998912600000,107.192211600000,18,32,50,2,1
HIKMAH,69836079,KB,Swasta,BOJONG RR. 02 RW. 01,Bojongmekar,Cipeundeuy,-6.750021000000,107.361574000000,20,18,38,2,1
IAP MANDIRI,69891520,KB,Swasta,CIBIHBUL,Gunungmasigit,Cipatat,-6.831127000000,107.433082000000,11,15,26,2,1
INSAN CENDIKIA,69835926,KB,Swasta,GALANGGANG,Galanggang,Batujajar,-6.926184500000,107.521830100000,9,12,21,2,0
ISTIQOMAH,69835847,KB,Swasta,JL. RAYA RANCA PANGGUNG,Rancapanggung,Cililin,-6.982300000000,107.427800000000,19,12,31,2,1
KB ADE IRMA SURYANI,69976866,KB,Swasta,KP. PARATAG RT 02 RW 07,Jambudipa,Cisarua,-6.806289700000,107.558078200000,17,26,43,2,0
KB ADZ DZIKRO,69836037,KB,Swasta,TUGU LAKSANA RT.02 / RW.13,Pagerwangi,Lembang,-6.844900000000,107.614900000000,19,13,32,4,1
KB AL AMANAH,69835991,KB,Swasta,JL. LETKOL GA MANULANG NO. 63,Padalarang,Padalarang,-6.844900000000,107.480300000000,22,24,46,3,1
KB AL AMANAH ASSIDIQIAH,70000651,KB,Swasta,Kamp. Pareang Pintu RT.01 RW.05,Mandalasari,Cipatat,-6.842470000000,107.419152800000,25,19,44,1,1
KB AL AMINAH,69835923,KB,Swasta,Jl.Terusan Leuwigajah Kp. Cipanggulaan Rt 03/05 Ds.Giriasih,Giriasih,Batujajar,-6.897696000000,107.503506000000,11,7,18,2,1
KB AL AZHAR SYIFA BUDI PARAHYANGAN,69836012,KB,Swasta,Jl. Raya Cimareme No. 340 RT.01 RW.01,Cimareme,Ngamprah,-6.860000000000,107.500000000000,12,9,21,2,0
KB AL BAROKAH,69835981,KB,Swasta,PERUM LAKSANA MEKAR ASRI,Laksanamekar,Padalarang,-6.847164300000,107.445324600000,11,8,19,2,1
KB AL BAROKAH,69929249,KB,Swasta,Kp. Cisereh Rt.02 Rw.06,Cijambu,Cipongkor,-6.970701100000,107.327812500000,24,19,43,3,1
KB AL BAROKAH,69835819,KB,Swasta,Kp. Pasirnangka RT. 04 / 04,Cikadu,Sindangkerta,-7.000911000000,107.385965600000,25,34,59,3,1
KB AL BAROKAH,69932547,KB,Swasta,Kp.  Tugaran RT 02 RW 16,Nanggeleng,Cipeundeuy,-6.747800000000,107.348600000000,15,13,28,2,1
KB AL BASYARI LEBAKSARI,69924125,KB,Swasta,Kp. Lebaksari Rt.01 Rw.02,Mekarsari,Ngamprah,-6.843604000000,107.498890000000,21,15,36,2,1
KB AL FAATHIR,69932551,KB,Swasta,Kp. Legok Asem Rt.01/02,Sirnagalih,Cipeundeuy,-6.795316400000,107.368410700000,22,14,36,2,1
KB AL FALAH,69835834,KB,Swasta,KP. KUBANG RT. 01 /06,Puncaksari,Sindangkerta,-6.991200000000,107.392100000000,23,25,48,4,1
KB AL HADID,69981709,KB,Swasta,Kp. Ciketa Rt 03/07,Cijambu,Cipongkor,-6.970422800000,107.351853700000,18,17,35,3,2
KB AL HASANAH,69937909,KB,Swasta,kP. Pasir Terasi Rt. 01/03,Cijambu,Cipongkor,-6.946607600000,107.391041400000,17,18,35,4,2
KB AL HASANAH,69836005,KB,Swasta,Kp. Cikamuning RT.03 RW.01,Tagogapu,Padalarang,-6.815127000000,107.474218000000,24,28,52,2,1
KB AL HIDAYAH,69970270,KB,Swasta,Kp. Jaura Rt 03/06 Ds. Cijenuk,Cijenuk,Cipongkor,-6.915002200000,107.359595400000,4,8,12,1,1
KB AL HUDA,69836003,KB,Swasta,JL. RAYA PURWAKARTA NO. 422,Tagogapu,Padalarang,-6.810024000000,107.465392000000,24,30,54,2,1
KB AL IKHLAS,69986758,KB,Swasta,KP. CINTA KARYA RT 02 RW 05,Citapen,Cihampelas,-6.943400000000,107.497500000000,47,36,83,3,1
KB AL IMAN,69836009,KB,Swasta,Jl. Raaya Purwakarta KP. Muara Cipada,Cempakamekar,Padalarang,-6.803986000000,107.450758000000,9,10,19,2,0
KB Al Istila,69966371,KB,Swasta,Kp. Sukasirna Rt 02 Rw 02,Girimukti,Cipongkor,-6.939713000000,107.355682200000,17,10,27,2,1
KB AL ISTIQOMAH,69835769,KB,Swasta,Kp. Cikawung RT.03 RW.10,Sukamanah,Rongga,-6.994100000000,107.286200000000,25,27,52,5,1
KB Al KAROMAH,69835866,KB,Swasta,Manapa RT. 01 / 04,Karangtanjung,Cililin,-6.946064300000,107.410119100000,6,3,9,2,1
KB AL KAUTSAR,69836038,KB,Swasta,NYAMPAY RT. 01 RW. 14,Langensari,Lembang,-6.817523000000,107.648335000000,13,14,27,2,1
KB AL KHOIRIYAH,69924141,KB,Swasta,Jl. H. Ghofur Kp. Cibuntu Rt.02 Rw.09,Cilame,Ngamprah,-6.852347000000,107.525656000000,18,12,30,null,null
KB AL KHOSIM,69935220,KB,Swasta,Kp. Peusing Hilir Rt.001 Rw.004,Sindangkerta,Sindangkerta,-6.979000000000,107.416200000000,17,19,36,2,0
KB AL KOMARIAH,69932944,KB,Swasta,Jl. Raya Purwakarta Km3 Kp. Warung Awi Rt.02/07,Bojongkoneng,Ngamprah,-6.823036000000,107.480627000000,11,14,25,3,1
KB AL MAQDIS,69988892,KB,Swasta,KP. SUKASARI RT. 003 RW. 001,Cicangkang Girang,Sindangkerta,-6.999400000000,107.385100000000,34,33,67,4,2
KB AL MIRWAN,69971563,KB,Swasta,Kp. Balong Rt 01/04 Ds. Bongas,Bongas,Cililin,-6.951988000000,107.431068000000,35,29,64,5,1
KB AL MUBIN,69933615,KB,Swasta,Kp. Ciburial,Jatimekar,Cipeundeuy,-6.745800000000,107.371340000000,8,18,26,2,1
KB AL MUHAJIRIN,69835971,KB,Swasta,KP. MEDALWANGI RT. 01 RW. 13,Mandalasari,Cipatat,-6.820264000000,107.346192200000,10,4,14,3,1
KB AL MUHAJIRIN,69891485,KB,Swasta,Kp. Nyomplong RT. 01 / 11,Celak,Gununghalu,-7.017386400000,107.330249500000,8,5,13,1,0
KB AL MUSYAWARAH,69836039,KB,Swasta,POJOK GIRANG RT 003 RW 004,Cikahuripan,Lembang,-6.784427000000,107.643330600000,16,17,33,3,0
KB Al Mutaalimin,69966474,KB,Swasta,Kp. Perelas Rt 04 Rw 06,Budiharja,Cililin,-6.944702600000,107.471245100000,17,15,32,1,1
KB AL ROJA,69916604,KB,Swasta,KP. SUKAUJLAH RT.04/07,Pasirpogor,Sindangkerta,-6.973100000000,107.394700000000,15,16,31,2,2
KB AL YASIR,69968592,KB,Swasta,Kp. Mareleng Rt 01 Rw 07,Cijenuk,Cipongkor,-6.974725000000,107.375819000000,12,8,20,3,1
KB AL-ABDANI,69891508,KB,Swasta,JL. Pembangunan RT.01 RW.09,Cihampelas,Cihampelas,-6.920000000000,107.468500000000,25,25,50,3,1
KB AL-AKBAR,70040326,KB,Swasta,Kp. Cikukuk RT. 004 RW. 008,Baranangsiang,Cipongkor,.000000000000,.000000000000,11,8,19,2,1
KB AL-BAYAN,69836066,KB,Swasta,Kampung  Pasir Ucing RT 01 Rw 15,Nanggeleng,Cipeundeuy,-6.770500000000,107.353900000000,12,18,30,4,1
KB AL-FAATIH,69968994,KB,Swasta,KP NYALINDUNG RT 02 RW 12,Cirawamekar,Cipatat,-6.842093400000,107.401117200000,12,13,25,2,1
KB AL-HIKMAH,69836055,KB,Swasta,WARUNGJATI RT 03 RW 10,Ciptagumati,Cikalongwetan,-6.743000000000,107.442900000000,39,28,67,4,1
KB AL-HIKMAH,70042433,KB,Swasta,KB AL-HIKMAH,Batulayang,Cililin,.000000000000,.000000000000,18,17,35,2,1
KB Al-Hikmah,69835885,KB,Swasta,JL. Raya Citapen No 32,Citapen,Cihampelas,-6.958932800000,107.488954500000,0,0,0,1,1
KB AL-IKHLAS,69891522,KB,Swasta,KP.CIPICUNG,Rajamandala Kulon,Cipatat,-5.443757000000,114.421127000000,11,21,32,2,1
KB AL-MUTTAQIN,69836094,KB,Swasta,TUGU,Ciharashas,Cipeundeuy,-6.718475000000,107.384931000000,21,26,47,2,1
KB AL-QURO,70045314,KB,Swasta,Kp. Pasir Meong RT. 003 RW. 004,Cililin,Cililin,-6.952500000000,107.448500000000,13,13,26,2,2
KB ALHUSNA,69835889,KB,Swasta,Kp.Cisarongge Sasak Bubur RT.03 RW.10,Mekarmukti,Cihampelas,-6.933900000000,107.475600000000,36,26,62,2,3
KB ALIYYUL MUNTAHA,69971511,KB,Swasta,Kp. Cidahu Rt 02/03 Ds. Sarinagen,Sarinagen,Cipongkor,-6.951258300000,107.387523500000,23,16,39,2,1
KB AN NUUR,70000307,KB,Swasta,KP. RANCAPANGGUNG RT 04 RW 08,Rancapanggung,Cililin,-6.983100000000,107.427600000000,20,24,44,1,1
KB ANAK MULIA,69931983,KB,Swasta,Jl. Lapang No.09 Rt.01 Rw.11,Cibogo,Lembang,-6.788012200000,107.659709100000,13,9,22,1,1
KB ANGGREK,69835824,KB,Swasta,"KP. CIBURUY RT,03 RW.05",Cintakarya,Sindangkerta,-6.995872000000,107.396545000000,22,25,47,1,1
KB ANGGREK PUTIH 8,69891527,KB,Swasta,Perum Ciampel Indah Jl. Melati Rt.02 Rw.08,Laksanamekar,Padalarang,-6.880900000000,107.501000000000,6,15,21,1,1
KB ANISA,69937902,KB,Swasta,Kp. Ciganda Rt. 01/03 Ds. Rende,Rende,Cikalongwetan,-6.753750800000,107.465533400000,15,17,32,1,1
KB ANNASRULLAH,69986737,KB,Swasta,KP. PABRIK RT 01 RW 08,Mandalawangi,Cipatat,-6.801464700000,107.389866500000,17,14,31,2,1
KB AR- ROHMAH,69891576,KB,Swasta,BLOK RANCA RT 03 RW 02,Batujajar Barat,Batujajar,-6.921900000000,107.497100000000,8,10,18,2,1
KB AR-RASYID,70053440,KB,Swasta,Kp. Tangkil RT.003 RW.013,Sukasari,Gununghalu,.000000000000,.000000000000,6,8,14,2,1
KB AR-ROJA,69836092,KB,Swasta,KP.CIEUNDEUY RT04/RW006 DESA.SUKAHAJI KEC.CIPEUNDEUY KAB.BANDUNG BARAT,Sukahaji,Cipeundeuy,-7.057538000000,107.790813000000,12,23,35,3,1
KB ARROYAN,69836004,KB,Swasta,KP. CIKAMUNING RT. 01 RW.01,Tagogapu,Padalarang,-6.821913700000,107.471299100000,8,14,22,1,0
KB ARSHELIA,70000891,KB,Swasta,KP PASIRBUNGUR RT 01 RW 05,Ranca Senggang,Sindangkerta,-7.017082800000,107.373861900000,12,14,26,1,2
KB AS SALAM,69924122,KB,Swasta,Jl. Ngamprah Kidul No.22 Rt.03/02,Ngamprah,Ngamprah,-6.830909000000,107.499880000000,5,3,8,2,1
KB AS SHULA,69946541,KB,Swasta,Kp. Malaka Jl. Raya Sindangkerta RT.001 RW.012,Sindangkerta,Sindangkerta,-7.073169000000,107.389080100000,2,4,6,null,null
KB ASH SHODDIQ,69940493,KB,Swasta,Kp. Babakan Bandung Rw.10,Pagerwangi,Lembang,-6.835600000000,107.620100000000,18,17,35,3,1
KB Assalafiah,69835836,KB,Swasta,Malandang Rt 01 / RW 03,Pasirpogor,Sindangkerta,-6.981569000000,107.390395000000,19,15,34,3,1
KB Assalafiyyah,69836102,KB,Swasta,Cibitung,Ciroyom,Cipeundeuy,-6.711674000000,107.357100000000,23,10,33,4,1
KB ASSYAFIIYAH,69968713,KB,Swasta,Kp. Ciranca Rt 01/04 Ds. Sukamulya,Sukamulya,Cipongkor,-6.920010000000,107.363014800000,25,29,54,3,1
KB ASSYARIFAH,69836016,KB,Swasta,BABAKAN CIANJUR,Gadobangkong,Ngamprah,6.800000000000,107.500000000000,17,13,30,1,1
KB AT TAWABIN,69835992,KB,Swasta,KP. CIPADANG MANAH RT.02 RW.16,Padalarang,Padalarang,-5.435582000000,114.413799000000,40,30,70,3,1
KB AT-TAQWA,69891549,KB,Swasta,BLOK TALANG,Sirnagalih,Cipeundeuy,-5.443757000000,114.421127000000,35,23,58,4,1
KB AT-TAQWA,69891561,KB,Swasta,KP. PASIR KADU RT 01 RW 08,Mukapayung,Cililin,-6.984300000000,107.461800000000,8,8,16,1,0
KB AT-TAUHID,69962769,KB,Swasta,Kp. Cigonyar Rt.01/04,Puncaksari,Sindangkerta,-.000144800000,.000107300000,22,26,48,1,1
KB ATSILAH,69922736,KB,Swasta,Kp. Babakan Solokan RT.01 RW.17,Cempakamekar,Padalarang,-6.887359900000,107.497653200000,16,16,32,2,1
KB AULADI,69835989,KB,Swasta,"KOMPK PPI,BLOK G10,NO.17",Padalarang,Padalarang,-6.876199500000,107.481002600000,9,6,15,1,2
KB AZ-ZAHRA,69961856,KB,Swasta,Kp. LOJI RT.02 RW.02,Cipada,Cisarua,-6.777884400000,107.524145800000,31,17,48,0,1
KB BABUSSALAM,69916648,KB,Swasta,KP. CIHAMPELAS RT.01 RW. 04,Bojongkoneng,Ngamprah,-6.831481000000,107.485007000000,23,18,41,3,1
KB BAHRUL AMIN CEBA,69835883,KB,Swasta,Jl. Raya Ciraden RT.06 RW.03,Citapen,Cihampelas,-6.949742800000,107.496167500000,32,24,56,3,1
KB BAITUL MUTTAQIEN,70007291,KB,Swasta,KP. GUNUNGBATU RT.01 RW.06,Ciptaharja,Cipatat,.000000000000,.000000000000,22,22,44,3,0
KB BAITURRAHMAN,69986766,KB,Swasta,KP. PABUARANRT 01 RW 01,Mandalawangi,Cipatat,-6.796436700000,107.399685600000,19,13,32,2,0
KB BAITURROHIM,69916591,KB,Swasta,JL. DIRAWINATA NO.12,Tanimulya,Ngamprah,-6.854615000000,107.535550000000,17,6,23,3,1
KB BERDIKARI,69836011,KB,Swasta,JL BABAKAN ROHMAT NO 31,Cimareme,Ngamprah,-6.865326000000,107.505102000000,25,16,41,1,1
KB BERINGIN,69835978,KB,Swasta,KP.CICARINGIN RT.03 RW.07,Mandalawangi,Cipatat,-6.835580000000,107.360175900000,14,15,29,2,1
KB BHINA SWAKARYA,69835930,KB,Swasta,Kp. Seketando RT.02 RW.14,Cangkorah,Batujajar,-6.884700000000,107.490300000000,0,0,0,1,0
KB BINA BANGSA,69919275,KB,Swasta,Kp. Cilimus Rt.02 Rw.03,Padaasih,Cisarua,-6.821071000000,107.561729000000,19,18,37,1,0
KB BINA ILMU MANDIIRI,69916594,KB,Swasta,JL. PADALARANG KP.CIBURIAL NO.04 RT.03/08,Margajaya,Ngamprah,-6.850999000000,107.502277000000,7,12,19,2,0
