Nama Satuan Pendidikan,NPSN,Bentuk Pendidikan,Status Sekolah,Alamat,Desa,Kecamatan,Lintang,Bujur,PD_L,PD_P,PD_Total,Guru,Tendik
SPS NUSA INDAH,69836275,SPS,Swasta,PERUM BINAKARYA RT.02 RW.18,Jayamekar,Padalarang,-6.855700000000,107.456100000000,19,8,27,3,1
SPS NUSA INDAH,69929948,SPS,Swasta,Kp. Rancakuda Rt.01 Rw.01,Citapen,Cihampelas,-6.927947900000,107.462336300000,6,13,19,2,1
SPS NUSA INDAH 02,69836253,SPS,Swasta,BLOK JAMBU NO 70 RT. 03 / 02,Galanggang,Batujajar,-6.912770000000,107.498938000000,12,22,34,4,1
SPS NUURUL HIDAYAH,69916615,SPS,Swasta,KP. CIHARASHAS,Margajaya,Ngamprah,-6.857659000000,107.506475000000,10,12,22,1,1
SPS PAUD AL HIDAYAH,69836283,SPS,Swasta,JL. RAYA BATUJAJAR,Cimareme,Ngamprah,-6.867571000000,107.502570000000,14,22,36,3,1
SPS PAUD AL KANDIYAS,69978081,SPS,Swasta,Kp. Cigagak Rt.07/05 Desa Baranangsiang Kec. Cipongkor KBB,Baranangsiang,Cipongkor,-6.908800000000,107.350700000000,41,46,87,5,1
SPS PAUD HIKMAH,69891602,SPS,Swasta,Kp. Bobojong RT.02 RW.12,Kanangasari,Cikalongwetan,-6.757000000000,107.398100000000,11,13,24,2,1
SPS PAUD IZATUL ISLAM,69928347,SPS,Swasta,Kp. Cireyod Rt.03/011,Cikidang,Lembang,-6.805372500000,107.604005000000,81,54,135,6,2
SPS PAUD MAHYRA,70037130,SPS,Swasta,KP PASIR WANGI RT.002 RW.006,Weninggalih,Sindangkerta,-7.026900000000,107.386500000000,16,10,26,1,2
SPS PAUD NUSA INDAH,69836292,SPS,Swasta,ANDIR,Gadobangkong,Ngamprah,-6.868684000000,107.522550000000,16,10,26,1,1
SPS PAUD SEKARWANGI 14,69941979,SPS,Swasta,"Jl. Raya Lembang KM. 12,7 Kp. Cihideung RT.01 RW.14",Gudangkahuripan,Lembang,-6.833300000000,107.605000000000,4,11,15,2,1
SPS PERMATA BUNDA MELATI 02,69976679,SPS,Swasta,KP. SUDIMAMPIR RT.04 RW.02,Padalarang,Padalarang,-6.848962000000,107.478412000000,9,10,19,2,1
SPS PESONA BUNDA,69967327,SPS,Swasta,Kp. Pasar Rt.01 Rw.02,Mekarmukti,Cihampelas,-5.443757000000,114.421127000000,9,13,22,1,1
SPS PKK MELATI,69836161,SPS,Swasta,DAYEUH LUHUR RT 01/06,Batulayang,Cililin,-6.981476000000,107.459614000000,12,8,20,3,1
SPS POS PAUD AN-NUR,69947670,SPS,Swasta,Kp. Cisalasih Rt.01/Rw.10 Ds. Cikidang Kec. Lembang,Cikidang,Lembang,-6.801300000000,107.690600000000,24,20,44,4,2
SPS POS PAUD ANGGREK,69924109,SPS,Swasta,Jl. Infantri Rt.04 Rw.19,Cilame,Ngamprah,-6.859697000000,107.508082000000,10,18,28,1,2
